EntryID,LemmaID,Code,YouTube Video,SignFrequency(M),SignFrequency(SD),SignFrequency(Z),SignFrequency(N),PercentUnknown,SignFrequency(M-Native),SignFrequency(SD-Native),SignFreq(Z-native),SignFrequency(N-Native),PercentUnknown(Native),PercentGlossAgreement,PercentGlossAgreement(Native),Iconicity(M),Iconicity(SD),Iconicity(Z),Iconicity(N),Iconicity_ID,SubtLexUSLog10WF,LexicalClass,SignOnset(ms),SignOffset(ms),SignLength(ms),ClipLength(ms),D.Iconicity(M) all,D.Iconicity(SD) all,D.Iconicity(N) all,D.Iconicity(Z) all,D.Iconicity(M) native,D.Iconicity(SD) native,D.Iconicity(N) native,D.Iconicity(Z) native,IconicityType,Initialized.2.0,FingerspelledLoanSign.2.0,Compound.2.0,NumberOfMorphemes.2.0,Handshape.2.0,MarkedHandshape.2.0,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0,HandshapeM2.2.0,MarkedHandshapeM2.2.0,SelectedFingersM2.2.0,FlexionM2.2.0,FlexionChangeM2.2.0,SpreadM2.2.0,SpreadChangeM2.2.0,ThumbPositionM2.2.0,ThumbContactM2.2.0,SignTypeM2.2.0,MovementM2.2.0,MajorLocationM2.2.0,MinorLocationM2.2.0,SecondMinorLocationM2.2.0,ContactM2.2.0,NonDominantHandshapeM2.2.0,UlnarRotationM2.2.0,HandshapeM3.2.0,MarkedHandshapeM3.2.0,SelectedFingersM3.2.0,FlexionM3.2.0,FlexionChangeM3.2.0,SpreadM3.2.0,SpreadChangeM3.2.0,ThumbPositionM3.2.0,ThumbContactM3.2.0,SignTypeM3.2.0,MovementM3.2.0,MajorLocationM3.2.0,MinorLocationM3.2.0,SecondMinorLocationM3.2.0,ContactM3.2.0,NonDominantHandshapeM3.2.0,UlnarRotationM3.2.0,HandshapeM4.2.0,MarkedHandshapeM4.2.0,SelectedFingersM4.2.0,FlexionM4.2.0,FlexionChangeM4.2.0,SpreadM4.2.0,SpreadChangeM4.2.0,ThumbPositionM4.2.0,ThumbContactM4.2.0,SignTypeM4.2.0,MovementM4.2.0,MajorLocationM4.2.0,MinorLocationM4.2.0,SecondMinorLocationM4.2.0,ContactM4.2.0,NonDominantHandshapeM4.2.0,UlnarRotationM4.2.0,HandshapeM5.2.0,MarkedHandshapeM5.2.0,SelectedFingersM5.2.0,FlexionM5.2.0,FlexionChangeM5.2.0,SpreadM5.2.0,SpreadChangeM5.2.0,ThumbPositionM5.2.0,ThumbContactM5.2.0,SignTypeM5.2.0,MovementM5.2.0,MajorLocationM5.2.0,MinorLocationM5.2.0,SecondMinorLocationM5.2.0,ContactM5.2.0,NonDominantHandshapeM5.2.0,UlnarRotationM5.2.0,HandshapeM6.2.0,MarkedHandshapeM6.2.0,SelectedFingersM6.2.0,FlexionM6.2.0,FlexionChangeM6.2.0,SpreadM6.2.0,SpreadChangeM6.2.0,ThumbPositionM6.2.0,ThumbContactM6.2.0,SignTypeM6.2.0,MovementM6.2.0,MajorLocationM6.2.0,MinorLocationM6.2.0,SecondMinorLocationM6.2.0,ContactM6.2.0,NonDominantHandshapeM6.2.0,UlnarRotationM6.2.0,bglm_aoa,empirical_aoa,SignType.2.0Frequency,MajorLocation.2.0Frequency,MinorLocation.2.0Frequency,SecondMinorLocation.2.0Frequency,Movement.2.0Frequency,SelectedFingers.2.0Frequency,Flexion.2.0Frequency,FlexionChange.2.0Frequency,RepeatedMovement.2.0Frequency,Contact.2.0Frequency,Spread.2.0Frequency,SpreadChange.2.0Frequency,ThumbContact.2.0Frequency,ThumbPosition.2.0Frequency,UlnarRotation.2.0Frequency,Transparency M,Transparency SD,Transparency Z,H index,SignBankAnnotationID,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,Parameter.Neighborhood.Density.2.0,Neighborhood Density 2.0,DominantTranslation,SignBankAnnotationID,SignBankLemmaID,SignBankSemanticField,SignBankEnglishTranslations,Complexity,SignFrequency(M-Nonnative),SignFrequency(SD-Nonnative),SignFreq(Z-Nonnative),SignFrequency(N-Nonnative),PercentGlossAgreement(Nonnative),PercentUnknown(Nonnative),PhonotacticProbability,VimeoVideo
1_dollar,1_dollar,C_02_025,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/TDfhj5BLyqQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",3.034,1.5,-0.728,29,0,2.944,1.474,-0.843,18,0,,,1.074,2.025,-0.82,27,,,Noun,467,1101,634,1668,2.1,1.45,30,-0.42,2.29,1.49,21,-0.37,Arbitrary,0,0,0,1,c,0,imrp,Curved,1,0,,Open,0,AsymmetricalDifferentHandshape,Straight,Hand,FingerBack,HandAway,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.175,0.25,0.019,0.155,0.457,0.449,0.225,0.209,0.446,0.622,0.602,0,0.684,0.657,0.836,,,,,DOLLAR,383,0,383,0,,DOLLAR,1_DOLLAR,None,"bill, cash, dollar, money",2,3.18,1.6,-0.54,12,0,0.083,5.787,https://player.vimeo.com/video/345587917
5_dollars,5_dollars,B_01_062,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/ys0QCfNZWZc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",5.12,1.716,0.302,25,0,5.214,1.847,0.36,14,0,,,5.481,2.016,1.308,27,,,Noun,434,767,334,1468,3.1,1.4,31,0.09,2.91,1.31,22,0.04,Perceptual,1,0,0,1,5,0,imrp,FullyOpen,0,1,0,Open,0,OneHanded,None,Neutral,Neutral,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.363,0.363,0,0.153,0.449,0.409,0.791,0.554,0.378,0.398,0.878,0.684,0.657,0.164,4.32,1.49,0.17,-0.2,FIVE-DOLLARS,190,4,190,4,,FIVE-DOLLARS,5_DOLLAR,Number,"dollar, five dollars, money",1,5,1.61,0.23,11,0,0,6.633,https://player.vimeo.com/video/344399314
8_hour,8_hour,C_02_055,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/89tWpIF7QGc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.267,1.574,-0.025,30,0,4.444,1.723,-0.031,18,0,,,2.654,2.025,-0.101,26,,,Number,501,1235,734,2035,2.53,1.85,30,-0.19,2.52,1.78,21,-0.27,Arbitrary,1,0,0,1,1,0,m,Curved,0,NA,NA,Open,1,AsymmetricalDifferentHandshape,Circular,Hand,FingerFront,Palm,1,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.175,0.25,0.015,0.025,0.076,0.045,0.225,0.791,0.554,0.622,0,0,0.316,0.657,0.836,2.84,1.57,-0.69,-0.16,EIGHT-HOURSneut,129,0,129,0,,EIGHT-HOURSneut,NUMBER-HOURS,Number,"eight hours, 8 hours, hour, time",4,4,1.35,-0.02,12,0,0,4.588,https://player.vimeo.com/video/345588916
9_oclock,9_oclock,C_02_080,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/7M4uTw57xCY?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",4.133,1.592,-0.122,30,0,4.778,1.478,0.129,18,0,,,2.741,2.025,0.034,27,,,Number,534,1268,734,2135,3.23,2.03,30,0.14,3.24,2.17,21,0.06,Arbitrary,1,0,1,2,flat_1,0,i,Flat,0,NA,NA,Closed,0,OneHanded,Straight,Arm,WristBack,NA,1,NA,0,f,1,i,Curved,0,NA,NA,Open,1,OneHanded,Straight,Neutral,Neutral,Neutral,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.026,0.004,0,0.457,0.261,0.162,0.791,0.554,0.622,0,0,0.684,0.343,0.836,3.8,1.99,0.3,-0.21,OCLOCK-NINE,48,4,48,4,,OCLOCK-NINE,OCLOCK-NUMBER,None,"9:00, 9 o'clock, nine o'clock, o'clock, time",1,3.17,1.27,-0.5,12,0,0,5.131,https://player.vimeo.com/video/345589804
a-line_bob,a-line_bob,K_03_127,,4.273,1.804,0.03,25,0.12,4.5,1.069,0.349,11,0.273,,,3.769,1.925,-0.132,26,BOB HAIRCUT,,Noun,634,1301,667,1935,,,,,,,,,,0,0,0,1,flat_b,1,imrp,Flat,0,0,0,Open,0,SymmetricalOrAlternating,Curved,Head,HeadAway,HeadAway,0,flat_b,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.345,0.266,0.066,0.178,0.233,0.449,0.162,0.791,0.554,0.378,0.602,0.878,0.684,0.657,0.164,,,,,,158,4,158,4,,,,,,2,4.14,2.14,-0.15,14,0,0,6.406,https://player.vimeo.com/video/342308099
a_little_bit,a_little_bit,H_03_025,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6aQFBPeVSpc?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",2.963,2.028,-0.762,28,0.036,3,2.309,-0.731,14,0.071,,,2.833,1.659,-0.234,24,a little bit,,Adjective,434,1101,667,1568,,,,,,,,,Arbitrary,0,0,0,1,bent_1,1,t,NA,1,NA,NA,Closed,NA,OneHanded,None,Neutral,Neutral,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.363,0.363,0,0.153,0.057,0,0.209,0.446,0.378,0,0,0,0.343,0.836,,,,,A-LITTLE-BIT,144,3,144,3,,A-LITTLE-BIT,A-LITTLE-BIT,Attribute,"a little bit, little, few, minimal, scarce",2,2.93,1.82,-0.79,14,0,0,3.54,https://player.vimeo.com/video/346887448
abbreviate,abbreviate,G_01_040,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/_wkE95JCdTQ?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",5.444,1.528,0.669,27,0,5.25,1.545,0.566,12,0,0.63,0.75,1.808,1.167,-0.776,26,,0.301,Verb,467,1068,601,1802,,,,,,,,,Arbitrary,0,0,0,1,h,1,im,FullyOpen,0,0,0,Closed,0,DominanceViolation,Straight,Hand,FingerRadial,HandAway,1,DominanceConditionViolation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.023,0.25,0.035,0.155,0.457,0.14,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.343,0.164,,,,,SHORT,368,1,368,1,short,SHORT,SHORT,Attribute,"brief, for a short time, quick, short, shortly",2,5.6,1.55,0.75,15,1,0,6.107,https://player.vimeo.com/video/346610443
about_1,about,B_02_072,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/3DE8PSJzl7A?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",5.48,1.475,0.523,25,0,5.5,1.787,0.518,14,0,,,2.067,2.045,-0.324,30,,5.268,Minor,367,1068,701,1869,1.36,0.8,31,-0.81,1.36,0.85,22,-0.77,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0,NA,NA,Closed,0,AsymmetricalSameHandshape,Circular,Hand,HandAway,FingerTip,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.059,0.25,0.035,0.006,0.076,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.343,0.164,3.68,1.46,-0.15,-0.16,ABOUTix,129,2,129,2,,ABOUTix,ABOUT,Locative,"about, regarding, with reference to",2,5.46,1.04,0.53,11,0,0,4.256,https://player.vimeo.com/video/345555837
about_2,about,B_02_003,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/6ZSNX5aiJDs?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",3.522,1.534,-0.762,23,0.08,3.417,1.564,-0.794,12,0.143,,,2.133,2.045,-0.309,30,,5.268,Minor,567,1502,934,2269,1.9,1.27,31,-0.55,1.86,1.15,22,-0.56,Arbitrary,0,0,0,1,1,0,i,FullyOpen,0,NA,NA,Closed,0,AsymmetricalDifferentHandshape,Circular,Hand,HandAway,FingerTip,1,O,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,35,0.175,0.25,0.035,0.006,0.076,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.343,0.164,3.68,1.8,-0.09,-0.16,ABOUTb,129,0,129,0,,ABOUTb,ABOUT,Locative,"about, regarding, with reference to",3,3.64,1.57,-0.73,11,0,0,4.371,https://player.vimeo.com/video/345536316
absolutely_nothing,absolutely_nothing,J_01_027,"<iframe width=""280"" height=""158"" src=""https://www.youtube.com/embed/VKxPTJe9KDk?rel=0&amp;controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>",2.957,1.821,-0.686,30,0.233,2.833,1.946,-0.906,15,0.2,0.409,0.455,1.5,1.142,-0.787,24,absolutely nothing,,Number,534,1001,467,1502,,,,,,,,,Arbitrary,1,0,0,1,flat_o,0,imrp,Flat,0,0,0,Open,1,OneHanded,None,Head,Mouth,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,0.392,0.266,0.046,0,0.153,0.449,0.162,0.791,0.554,0.622,0.602,0.878,0.316,0.657,0.836,,,,,ABSOLUTELY-NOTHING,232,3,232,3,none,ABSOLUTELY-NOTHING,ABSOLUTELY-NOTHING,Attribute,"absolutely nothing, all out, depleted, empty, none, nothing, zilch",1,3.09,1.76,-0.44,15,0,0.267,6.723,https://player.vimeo.com/video/346914407
